,Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
0,2021-04-14,Swiggy,Food Delivery,Online Food Delivery,Bangalore,"amansa holdings, carmignac, falcon edge capital, goldman sachs, think investments",Series J,343000000.0,https://www.swiggy.com/
1,2021-04-14,Beldara,Ecommerce,Global B2B marketplace,Mumbai,hindustan media ventures,Venture,7400000.0,https://beldara.com/
2,2021-04-07,Groww,Fintech,Investment platform,Bangalore,"mc global edtech, b capital, baron, others",Series D,83000000.0,https://groww.in/
3,2021-04-05,Meesho,Ecommerce,Online reselling platform,Bangalore,softbank vision fund 2,Series E,300000000.0,http://www.meesho.com/
4,2021-04-01,BYJU’S,Edtech,Online tutoring,Bangalore,innoven capital,Series F,460000000.0,http://www.byjus.com/
5,2021-03-31,Uniphore,IT,Conversational Service Automation (CSA),Palo Alto,sorenson capital partners,Series D,140000000.0,http://uniphore.com/
6,2021-03-30,BYJU’S,Edtech,Online tutoring,Bangalore,"mc global edtech, b capital, baron, others",Series F,460000000.0,http://www.byjus.com/
7,2021-03-30,Dunzo,Ecommerce,Hyper-local delivery app,Bangalore,krishtal advisors pte ltd,Series E,8000000.0,http://dunzo.in/
8,2021-03-26,DotPe,Fintech,Commerce and payments platform to offline enterprise businesses.,Gurgaon,payu,Series A,27500000.0,https://dotpe.in/
9,2021-03-25,CityMall,Ecommerce,Social ecommerce and online grocery platform,Gurgaon,accel partners,Series A,11000000.0,https://www.citymall.live/
10,2021-03-23,SkilloVilla,Edtech,Career and job-oriented upskilling.,Bangalore,"titan capital, others",Seed,300000000.0,https://www.skillovilla.com/
11,2021-03-04,DealShare,Ecommerce,Online shopping platform,"Jaipur, Rajasthan",innoven capital,Debt Financing,250000000.0,https://www.dealshare.in/
12,2021-02-22,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,"tiger global, kora",Venture,250000000.0,https://www.zomato.com/
13,2021-02-19,Fingerlix,Hospitality,Semi-cooked food delivery app,Mumbai,"rhodium trust, accel partners and swiggy",Series C,2747045.2,https://www.fingerlix.com/
14,2021-02-17,Zolve,Fintech,Global Neobank Venture,Mumbai,accel partners and lightspeed venture partners,Seed,15000000.0,https://zolve.com/
15,2021-02-15,KreditBee,Fintech,Digital lending platform,Bangalore,azim premji’s premjiinvest and south korea’s mirae asset venture,Series C,75000000.0,https://www.kreditbee.in/
16,2021-02-12,Pepperfry,Ecommerce,Multi-brand furniture brand,Mumbai,innoven capital,Debt Financing,4773958.0,http://www.pepperfry.com/
17,2021-02-12,Grofers,Ecommerce,Online supermarket,Gurgaon,softbank vision fund (svf),Unspecified,55000000.0,http://grofers.com/
18,2021-02-11,Doubtnut,Edtech,E-Learning Platform,Gurgaon,"sig global, sequoia capital, waterbridge ventures and on mauritius",Series B,2500000.0,http://www.doubtnut.com/
19,2021-02-09,Nothing,IT,Consumer Technology Venture,London,gv,Series A,15000000.0,https://nothing.tech/
20,2021-02-09,SplashLearn,Edtech,Game-based learning programme,Gurgaon,owl ventures,Series C,18000000.0,https://www.splashlearn.com/
21,2021-01-28,Bombay Shaving Company,Consumer Internet,"Shave care, beard care, and skincare products",New Delhi,reckitt benckiser,Venture,6172258.5,https://www.bombayshavingcompany.com/
22,2021-01-19,Darwinbox,B2B SaaS,HR Tech,Mumbai,salesforce ventures,Seed,15000000.0,https://darwinbox.com/
23,2021-01-19,DeHaat,Agritech,online marketplace for farm products and services,Patna,prosus ventures,Series C,30000000.0,http://agrevolution.in/
24,2021-01-18,mfine,HealthTech,AI-powered telemedicine mobile app,Bangalore,heritas capital management,Venture Round,16000000.0,https://www.mfine.co/
25,2021-01-18,Udayy,Edtech,Online learning platform for kids in class 1-5,Gurgaon,sequoia capital,Seed Funding,15000000.0,https://www.udayy.com/
26,2021-01-15,Digit Insurance,Fintech,Insurance Services,Bangalore,"a91 partners, faering capital, tvs capital funds",Venture,18000000.0,https://godigit.com/
27,2021-01-13,Saveo,B2B,Pharmacies,Bangalore,"matrix partners india, rtp global, others",Seed,4000000.0,https://www.saveo.in/
28,2021-01-11,True Elements,Food & Beverages,Whole Food plant based Nashta,Pune,sidbi venture capital,Series,100000000.0,http://www.true-elements.com/
29,2020-12-22,Tax Buddy India,Fintech,Online tax adviser ,Mumbai,zenith global,Seed,1000000.0,https://www.taxbuddy.com/
30,2020-12-21,Pine Labs,Fintech,Payment Solutions Provider,Noida,lone pine capital,Secondary Market,2000000.0,https://www.pinelabs.com/
31,2020-12-18,PagarBook,B2B SaaS,Employee management platform ,Bangalore,sequoia capital,Series A,15000000.0,https://pagarbook.com/
32,2020-12-15,Zenoti,IT,Cloud-based software provider for the spa and salon industries,Washington,advent international,Series D,160000000.0,http://www.zenoti.com/
33,2020-12-15,Delhivery,Logistics,Transportation,Gurgaon,steadview capital,Secondary Market,25000000.0,http://delhivery.com/
34,2020-12-15,Bira 91,Food & Beverages,Craft Beer ,New Delhi,"nishant mittal, pankaj chaddah and shikha sunil chandak",Funding,1273634.07,https://www.bira91.com/
35,2020-11-30,CRED,Fintech,Credit Card Behavior Services,Bangalore,dst global,Series C,80000000.0,https://www.cred.club/
36,2020-11-30,Codingal,Edtech,Online coding platform,Bangalore,"rebright partners, java capital, and gsf accelerator",Seed,560000.0,https://www.codingal.com/
37,2020-11-30,Credgenics,Fintech,Critical NPA reduction for Fintech lenders and banks,Gurgaon,"venture capital firm, accel partners and dmi finance",Pre-Series A,3500000.0,https://www.credgenics.com/
38,2020-11-29,Bira 91,Food & Beverages,Craft Beer ,New Delhi,"sofina, sequoia capital, sixth sense ventures, neoplux",Bridge Funding,3000000.0,https://www.bira91.com/
